Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1978","1978","3050","FAO TIER 1","kilotonnes","822.1436","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1978","1978","3050","FAO TIER 1","kilotonnes","8.9207","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1979","1979","3050","FAO TIER 1","kilotonnes","842.2688","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1979","1979","3050","FAO TIER 1","kilotonnes","9.1225","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1980","1980","3050","FAO TIER 1","kilotonnes","857.1341","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1980","1980","3050","FAO TIER 1","kilotonnes","9.3318","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1981","1981","3050","FAO TIER 1","kilotonnes","873.5863","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1981","1981","3050","FAO TIER 1","kilotonnes","9.5542","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1982","1982","3050","FAO TIER 1","kilotonnes","896.1716","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1982","1982","3050","FAO TIER 1","kilotonnes","9.8202","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1983","1983","3050","FAO TIER 1","kilotonnes","913.2139","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1983","1983","3050","FAO TIER 1","kilotonnes","10.0186","Fc","Calculated data",""
